,Precio Total (EUR),Aerolínea,Origen,Destino,Salida,Llegada,Duración
23,2118.35,LH,VIE,FRA,2024-11-01T07:00:00,2024-11-01T08:30:00,PT4H
24,2118.35,LH,VIE,FRA,2024-11-01T09:00:00,2024-11-01T10:30:00,PT7H
25,2118.35,LH,VIE,FRA,2024-11-01T10:30:00,2024-11-01T12:00:00,PT5H30M
26,2118.35,LH,VIE,FRA,2024-11-01T07:00:00,2024-11-01T08:30:00,PT5H45M
27,2118.35,LH,VIE,FRA,2024-11-01T09:00:00,2024-11-01T10:30:00,PT7H
28,2120.90,LH,VIE,MUC,2024-11-01T06:55:00,2024-11-01T07:55:00,PT4H25M
29,2122.30,OS,VIE,FRA,2024-11-01T08:00:00,2024-11-01T09:30:00,PT5H
30,2122.30,OS,VIE,FRA,2024-11-01T10:30:00,2024-11-01T12:00:00,PT5H5M
31,2122.30,OS,VIE,FRA,2024-11-01T07:00:00,2024-11-01T08:30:00,PT6H
32,2122.30,OS,VIE,FRA,2024-11-01T09:00:00,2024-11-01T10:30:00,PT6H35M
33,2122.30,LH,VIE,MUC,2024-11-01T06:55:00,2024-11-01T07:55:00,PT4H25M
34,2122.30,LH,VIE,MUC,2024-11-01T06:55:00,2024-11-01T07:55:00,PT4H25M
35,2122.30,OS,VIE,MUC,2024-11-01T06:55:00,2024-11-01T07:55:00,PT4H25M
36,2122.30,OS,VIE,MUC,2024-11-01T06:55:00,2024-11-01T07:55:00,PT4H25M
37,2123.35,OS,VIE,FRA,2024-11-01T08:00:00,2024-11-01T09:30:00,PT5H
38,2123.35,OS,VIE,FRA,2024-11-01T10:30:00,2024-11-01T12:00:00,PT5H5M
39,2123.35,OS,VIE,FRA,2024-11-01T07:00:00,2024-11-01T08:30:00,PT6H
40,2123.35,OS,VIE,FRA,2024-11-01T09:00:00,2024-11-01T10:30:00,PT6H35M
41,2123.35,OS,VIE,FRA,2024-11-01T08:00:00,2024-11-01T09:30:00,PT5H
42,2123.35,OS,VIE,FRA,2024-11-01T10:30:00,2024-11-01T12:00:00,PT5H5M
43,2123.35,OS,VIE,FRA,2024-11-01T07:00:00,2024-11-01T08:30:00,PT6H
44,2123.35,OS,VIE,FRA,2024-11-01T09:00:00,2024-11-01T10:30:00,PT6H35M
45,2125.90,OS,VIE,MUC,2024-11-01T06:55:00,2024-11-01T07:55:00,PT4H25M
46,2127.30,OS,VIE,MUC,2024-11-01T06:55:00,2024-11-01T07:55:00,PT4H25M
47,2127.30,OS,VIE,MUC,2024-11-01T06:55:00,2024-11-01T07:55:00,PT4H25M
48,2140.95,LH,VIE,MUC,2024-11-01T06:55:00,2024-11-01T07:55:00,PT4H25M
49,2140.95,LH,VIE,MUC,2024-11-01T06:55:00,2024-11-01T07:55:00,PT4H25M
